车次,,始发站-终点站,到站时间,查询站,开车时间,全程（时间）
G301,,北京南站 - 福州南站,始发站,北京站,10:30,1827公里（9小时44分）
G65,,北京西站 - 珠海站,始发站,北京站,10:33,2414公里（10小时55分）
G6701,,北京西站 - 石家庄站,始发站,北京站,10:38,281公里（1小时20分）
D4603,,北京站 - 哈尔滨西站,始发站,北京站,10:38,1241公里（8小时20分）
C2571,,北京南站 - 滨海站,始发站,北京站,10:39,165公里（1小时10分）
G181,,北京南站 - 青岛站,始发站,北京站,10:40,819公里（4小时56分）
G163,,北京南站 - 苍南站,始发站,北京站,10:45,1673公里（9小时45分）
G429,,北京西站 - 兰州西站,始发站,北京站,10:45,1784公里（9小时5分）
G393,,北京南站 - 牡丹江站,始发站,北京站,10:50,1638公里（9小时26分）
C2615,,北京南站 - 天津西站,始发站,北京站,10:51,117公里（32分）
G487,,北京西站 - 南昌西站,始发站,北京站,10:52,1933公里（6小时29分）
C2209,,北京南站 - 天津站,始发站,北京站,10:56,120公里（37分）
D6635,,北京站 - 秦皇岛站,始发站,北京站,10:57,299公里（2小时51分）
G31,,北京南站 - 千岛湖站,始发站,北京站,11:00,1445公里（5小时55分）
G123,,北京南站 - 上海虹桥站,始发站,北京站,11:05,1318公里（5小时45分）
Z282/Z283,,杭州站 - 包头站,10:22,北京站,11:07,2313公里（29小时20分）
Z283/Z282,,杭州站 - 包头站,10:22,北京站,11:07,2313公里（29小时20分）
G557,,北京西站 - 武汉站,始发站,北京站,11:07,1229公里（6小时39分）
C2027,,北京南站 - 天津站,始发站,北京站,11:08,120公里（30分）
G125,,北京南站 - 上海虹桥站,始发站,北京站,11:10,1318公里（5小时49分）
G607,,北京西站 - 太原南站,始发站,北京站,11:14,513公里（2小时53分）
C2707,,北京西站 - 大兴机场站,始发站,北京站,11:15,47公里（30分）
G667,,北京西站 - 西安北站,始发站,北京站,11:19,1212公里（5小时49分）
G411,,北京南站 - 上海虹桥站,始发站,北京站,11:20,1318公里（6小时5分）
G4217,,北京南站 - 荣成站,始发站,北京站,11:20,1063公里（6小时35分）
C2029,,北京南站 - 天津站,始发站,北京站,11:21,120公里（30分）
C2617,,北京南站 - 天津西站,始发站,北京站,11:26,117公里（32分）
Z49,,北京西站 - 成都站,始发站,北京站,11:28,2356公里（21小时28分）
G127,,北京南站 - 上海虹桥站,始发站,北京站,11:30,1318公里（5小时50分）
G609,,北京西站 - 太原南站,始发站,北京站,11:33,513公里（2小时52分）
G9101,,北京北站 - 张家口站,始发站,北京站,11:37,172公里（1小时13分）
G473,,北京南站 - 烟台站,始发站,北京站,11:38,961公里（6小时1分）
C2573,,北京南站 - 滨海站,始发站,北京站,11:40,165公里（1小时3分）
G401,,北京西站 - 贵阳北站,始发站,北京站,11:43,2297公里（10小时47分）
C2031,,北京南站 - 天津站,始发站,北京站,11:45,120公里（30分）
G183,,北京南站 - 青岛站,始发站,北京站,11:47,819公里（4小时57分）
Z4175,,北京站 - 武昌站,始发站,北京站,11:48,1231公里（12小时58分）
Z35,,北京西站 - 广州站,始发站,北京站,11:49,2294公里（21小时16分）
C2575,,北京南站 - 滨海站,始发站,北京站,11:50,165公里（1小时11分）
D6619,,北京站 - 秦皇岛站,始发站,北京站,11:50,299公里（2小时25分）
G659,,北京西站 - 西安北站,始发站,北京站,11:53,1212公里（5小时42分）
C2709,,北京西站 - 大兴机场站,始发站,北京站,11:57,47公里（30分）
G517,,北京西站 - 武汉站,始发站,北京站,11:58,1229公里（5小时39分）
G9,,北京南站 - 上海虹桥站,始发站,北京站,12:00,1318公里（4小时36分）
C2033,,北京南站 - 天津站,始发站,北京站,12:02,120公里（30分）
G325,,北京南站 - 厦门北站,始发站,北京站,12:05,2053公里（10小时50分）
G129,,北京南站 - 上海站,始发站,北京站,12:10,1325公里（5小时57分）
C2211,,北京南站 - 天津站,始发站,北京站,12:10,120公里（37分）
G67,,北京西站 - 广州南站,始发站,北京站,12:13,2298公里（10小时8分）
G496/G497,,北京南站 - 大连北站,始发站,北京站,12:15,963公里（4小时38分）
G611,,北京西站 - 太原南站,始发站,北京站,12:19,513公里（3小时19分）
G131,,北京南站 - 上海虹桥站,始发站,北京站,12:20,1318公里（5小时56分）
G185,,北京南站 - 青岛站,始发站,北京站,12:25,819公里（4小时55分）
C2619,,北京南站 - 天津西站,始发站,北京站,12:26,117公里（32分）
G303,,北京南站 - 福州站,始发站,北京站,12:30,1808公里（9小时14分）
G491,,北京西站 - 赣州西站,始发站,北京站,12:33,1976公里（9小时51分）
Z161,,北京西站 - 昆明站,始发站,北京站,12:34,3174公里（33小时57分）
Z97,,北京西站 - 广州东站,始发站,北京站,12:40,2302公里（21小时20分）
G187,,北京南站 - 青岛北站,始发站,北京站,12:40,804公里（3小时40分）
C2035,,北京南站 - 天津站,始发站,北京站,12:40,120公里（30分）
D11,,北京站 - 沈阳南站,始发站,北京站,12:43,718公里（5小时11分）
G6703,,北京西站 - 石家庄站,始发站,北京站,12:44,281公里（1小时39分）
C2037,,北京南站 - 天津站,始发站,北京站,12:45,120公里（30分）
G167,,北京南站 - 温州南站,始发站,北京站,12:45,1709公里（9小时4分）
G133,,北京南站 - 上海虹桥站,始发站,北京站,12:50,1318公里（5小时50分）
C2577,,北京南站 - 滨海站,始发站,北京站,12:50,165公里（1小时17分）
G555,,北京西站 - 宜昌东站,始发站,北京站,12:56,1525公里（6小时31分）
D6657,,北京南站 - 保定站,始发站,北京站,13:00,190公里（2小时8分）
G23,,北京南站 - 合肥南站,始发站,北京站,13:00,1000公里（3小时44分）
C2711,,北京西站 - 大兴机场站,始发站,北京站,13:00,47公里（30分）
G533,,北京西站 - 邵阳站,始发站,北京站,13:02,1804公里（7小时1分）
G135,,北京南站 - 上海虹桥站,始发站,北京站,13:05,1318公里（5小时54分）
G69,,北京西站 - 广州南站,始发站,北京站,13:07,2298公里（9小时24分）
C2621,,北京南站 - 天津西站,始发站,北京站,13:10,117公里（32分）
G189,,北京南站 - 青岛站,始发站,北京站,13:15,819公里（5小时4分）
D2003,,北京西站 - 运城北站,始发站,北京站,13:16,869公里（6小时1分）
C2039,,北京南站 - 天津站,始发站,北京站,13:17,120公里（30分）
D9,,北京站 - 沈阳北站,始发站,北京站,13:19,703公里（4小时54分）
C2041,,北京南站 - 天津站,始发站,北京站,13:22,120公里（30分）
G217,,北京南站 - 沈阳北站,始发站,北京站,13:30,786公里（3小时45分）
G805,,北京西站 - 郑州东站,始发站,北京站,13:30,693公里（2小时25分）
G137,,北京南站 - 上海虹桥站,始发站,北京站,13:35,1318公里（5小时42分）
D48/D49,,北京站 - 通辽站,始发站,北京站,13:36,1034公里（6小时56分）
G59,,北京南站 - 台州站,始发站,北京站,13:40,1586公里（8小时4分）
C2623,,北京南站 - 天津西站,始发站,北京站,13:41,117公里（32分）
G139,,北京南站 - 合肥南站,始发站,北京站,13:45,1000公里（4小时55分）
C2579,,北京南站 - 滨海站,始发站,北京站,13:47,165公里（1小时10分）
G397,,北京南站 - 丹东站,始发站,北京站,13:50,1016公里（6小时28分）
G661,,北京西站 - 西安北站,始发站,北京站,13:50,1212公里（5小时56分）
D101,,北京站 - 哈尔滨西站,始发站,北京站,13:52,1241公里（7小时48分）
G3,,北京南站 - 上海虹桥站,始发站,北京站,14:00,1318公里（4小时28分）
G87,,北京西站 - 西安北站,始发站,北京站,14:00,1216公里（4小时20分）
C2713,,北京西站 - 大兴机场站,始发站,北京站,14:00,47公里（30分）
C2043,,北京南站 - 天津站,始发站,北京站,14:02,120公里（30分）
G1589,,北京西站 - 十堰东站,始发站,北京站,14:05,1261公里（6小时13分）
G43,,北京南站 - 杭州东站,始发站,北京站,14:05,1477公里（6小时42分）
C2625,,北京南站 - 天津西站,始发站,北京站,14:07,117公里（32分）
G141,,北京南站 - 上海虹桥站,始发站,北京站,14:10,1318公里（5小时59分）
G613,,北京西站 - 太原南站,始发站,北京站,14:10,513公里（2小时56分）
Z58/Z59,,北京站 - 福州站,始发站,北京站,14:16,2089公里（20小时41分）
C2045,,北京南站 - 天津站,始发站,北京站,14:17,120公里（30分）
D19,,北京站 - 长春站,始发站,北京站,14:18,1013公里（6小时27分）
G191,,北京南站 - 青岛站,始发站,北京站,14:20,819公里（4小时59分）
C2627,,北京南站 - 天津西站,始发站,北京站,14:22,117公里（32分）
G6733,,北京西站 - 邯郸东站,始发站,北京站,14:23,456公里（2小时7分）
D73,,北京站 - 吉林站,始发站,北京站,14:28,1124公里（7小时6分）
G673,,北京西站 - 宝鸡南站,始发站,北京站,14:28,1379公里（7小时22分）
G237,,北京南站 - 吉林站,始发站,北京站,14:30,1214公里（5小时56分）
G145,,北京南站 - 上海虹桥站,始发站,北京站,14:35,1318公里（5小时58分）
G193,,北京南站 - 青岛站,始发站,北京站,14:40,819公里（5小时5分）
G503,,北京西站 - 长沙南站,始发站,北京站,14:41,1591公里（6小时33分）
C2047,,北京南站 - 天津站,始发站,北京站,14:42,120公里（30分）
C2715,,北京西站 - 大兴机场站,始发站,北京站,14:43,47公里（30分）
D32/D33,,北京站 - 大连北站,始发站,北京站,14:46,873公里（6小时10分）
G587,,北京西站 - 武汉站,始发站,北京站,14:48,1229公里（5小时47分）
G8815,,北京北站 - 太子城站,始发站,北京站,14:50,177公里（1小时14分）
C2581,,北京南站 - 滨海站,始发站,北京站,14:51,165公里（1小时3分）
C2049,,北京南站 - 天津站,始发站,北京站,14:56,120公里（30分）
Z55,,北京西站 - 兰州站,始发站,北京站,14:58,1569公里（16小时32分）
G11,,北京南站 - 上海虹桥站,始发站,北京站,15:00,1318公里（4小时28分）
G615,,北京西站 - 太原南站,始发站,北京站,15:03,513公里（3小时1分）
C2051,,北京南站 - 天津站,始发站,北京站,15:03,120公里（30分）
G2515,,北京北站 - 大同南站,始发站,北京站,15:07,338公里（2小时28分）
